Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
RPLP0	11.87361963	12.51593767	11.89357024	12.55698722	11.83568697	12.486221	8.947696814	11.86651193	12.42329934	12.77101197
RPLP1	11.61470524	11.57820756	12.36035056	11.31436799	11.69291621	11.5343953	10.00035218	11.42906146	11.56155526	11.54481958
RPLP2	12.36092388	12.73940723	12.23606503	12.8688457	12.37430323	12.98404634	7.196243099	12.39232547	12.70464506	12.91965665
RPN1	8.830933457	9.53924219	8.808964175	9.97475873	9.020877183	9.902358532	7.491171663	9.283523643	9.312631142	9.988301242
RPN2	9.343367846	9.406270919	9.208312406	9.888215077	9.300137456	10.18258058	7.209034143	9.547108534	9.242207101	9.910794112
RPP14	7.766310252	7.835380941	7.809510912	8.309258057	7.868378105	8.499188155	6.598030161	7.867754411	8.383643819	8.373300197
RPP21	8.753724863	8.915287842	8.716562274	8.904261294	8.77859956	9.034323029	8.450270993	8.864845423	8.769163437	8.97237387
RPP25	6.809247218	6.729104068	6.713242152	6.646047421	6.711715149	6.763292053	6.869192825	6.722315736	6.453703583	6.86905707
RPP25L	7.461528559	7.608180883	7.35269674	7.405013785	7.396433531	7.341220802	7.953777403	7.183942991	7.321982195	7.301267541
RPP30	7.780086958	8.066885683	7.679353418	8.524020566	7.749165502	8.532511779	7.195239313	7.677437769	8.063017504	8.692800294
RPP38	6.692287698	7.016975386	6.684888851	7.227105676	6.776143477	7.279749853	6.77303368	6.687452672	7.188727298	7.525888777
RPP40	5.387641705	5.196709326	5.33470413	5.64987696	5.268580362	5.286644621	5.439978781	5.136228306	5.105799582	5.094172718
RPPH1	11.00081692	10.29706529	12.0127991	10.78545247	11.35251247	10.85584958	7.831079182	11.43961794	10.94098156	10.79832599
RPPH1-3P	5.503552276	5.226978562	5.502356064	5.287734539	5.529027558	5.135563599	6.510746765	5.27898462	5.361982362	5.03740858
RPRD1A	7.592240243	8.189478666	7.707448866	9.041787811	7.263231636	8.756386191	7.244249652	7.684447078	8.159518186	8.428971461
RPRD1B	9.180326914	8.518877361	9.319597614	8.723961226	9.223533567	8.998906293	8.061792395	9.104887002	8.845047766	8.938188738
RPRD2	8.613748954	8.792930166	8.659632052	9.330403779	8.678899386	9.504439647	6.726122771	8.604619942	9.18918212	9.053597404
RPRM	6.535746606	6.309048825	6.528594759	5.965509569	6.688893695	6.058232062	7.357886249	6.288936189	6.406291756	6.289286712
RPRML	8.652124342	8.503785994	8.556287622	7.880967083	8.604971985	8.181634317	8.800327237	8.27396806	8.443544494	8.344082817
RPS10	9.084630001	9.643372752	9.322847146	9.808835244	9.151190966	9.574292156	7.939254707	9.182222085	9.337692717	9.890170439
RPS10P7	6.859236588	6.829583215	7.002432496	7.108210793	6.702366648	6.885342519	7.177100565	6.623341613	6.612343651	7.005298924
RPS11	13.06169689	13.08310697	13.04135799	13.13543675	13.13331563	13.07657012	9.188146203	12.99123838	12.94493895	13.19409814
RPS11P5	12.62630223	12.66454506	12.63595387	12.91921902	12.71880469	12.66828891	8.058392265	12.69405965	12.6101736	12.99998943
RPS12	9.941501037	9.825200495	11.11791577	10.02257588	10.21190046	10.17642251	6.898849247	10.18223294	10.21951947	10.04153596
RPS12P23	4.392880651	4.283010543	4.411975287	4.277478972	4.424472015	4.593897518	4.680408755	4.403533601	4.37332108	4.63050449
RPS13	11.59499634	12.11775997	11.92744465	12.16989369	11.71078922	12.48579661	7.43710287	11.81292734	12.2857432	12.36893473
RPS14	9.740841848	9.788017925	9.883164661	9.640695283	9.555516332	9.753317361	8.186108738	9.66588471	9.29389111	9.625505048
RPS14P3	7.926663665	8.043344505	7.906602028	8.421206465	7.695228291	7.997185127	6.955405806	7.839430569	8.04234338	8.309721898
RPS15	9.188764948	9.486172898	9.264053429	9.119945533	9.226346754	9.16321826	8.556931405	9.229507203	9.143567458	9.326813994
RPS15A	12.92226848	13.10814544	13.20514108	13.31601277	13.0536646	13.21206923	10.83735987	12.96816097	13.05690862	13.2733425
RPS15AP1	11.40137554	11.63431646	11.99492969	11.91778603	11.46348861	11.73050835	7.877468198	11.61237093	11.81188039	11.98585261
RPS15AP11	9.097816189	9.225284571	9.583351719	9.561614448	9.201548101	9.4926764	7.717169163	9.103830684	9.296060428	9.567927563
